2016-11-24 08:47:23 -0300	184.75.214.42	96
2016-11-24 08:47:33 -0300	184.75.214.42	64
2016-11-24 08:47:43 -0300	90.75.214.60	21
2016-11-24 08:47:53 -0300	184.75.214.42	13
2016-11-24 08:48:03 -0300	90.75.214.60	3
2016-11-24 08:48:13 -0300	90.75.214.60	63
2016-11-24 08:48:23 -0300	184.75.214.42	51
2016-11-24 08:48:33 -0300	90.75.214.60	16
2016-11-24 08:48:43 -0300	90.75.214.60	7
2016-11-24 08:48:53 -0300	184.75.214.42	69
2016-11-24 08:49:03 -0300	184.75.214.42	64
2016-11-24 08:49:13 -0300	90.75.214.60	37
2016-11-24 08:49:23 -0300	90.75.214.60	61
2016-11-24 08:49:33 -0300	90.75.214.60	90
2016-11-24 08:49:43 -0300	90.75.214.60	53
2016-11-24 08:49:53 -0300	90.75.214.60	87
2016-11-24 08:50:03 -0300	90.75.214.60	90
2016-11-24 08:50:13 -0300	90.75.214.60	73
2016-11-24 08:50:23 -0300	184.75.214.42	83
2016-11-24 08:50:33 -0300	184.75.214.42	41
2016-11-24 08:50:43 -0300	90.75.214.60	92
2016-11-24 08:50:53 -0300	184.75.214.42	27
2016-11-24 08:51:03 -0300	184.75.214.42	36
2016-11-24 08:51:13 -0300	184.75.214.42	97
2016-11-24 08:51:23 -0300	90.75.214.60	84
2016-11-24 08:51:33 -0300	184.75.214.42	18
2016-11-24 08:51:43 -0300	184.75.214.42	91
2016-11-24 08:51:53 -0300	184.75.214.42	79
2016-11-24 08:52:03 -0300	184.75.214.42	40
2016-11-24 08:52:13 -0300	90.75.214.60	83
2016-11-24 08:52:23 -0300	184.75.214.42	32
2016-11-24 08:52:33 -0300	90.75.214.60	85
2016-11-24 08:52:43 -0300	90.75.214.60	51
2016-11-24 08:52:53 -0300	90.75.214.60	36
2016-11-24 08:53:03 -0300	90.75.214.60	46
2016-11-24 08:53:13 -0300	90.75.214.60	69
2016-11-24 08:53:23 -0300	184.75.214.42	28
2016-11-24 08:53:33 -0300	90.75.214.60	21
2016-11-24 08:53:43 -0300	184.75.214.42	76
2016-11-24 08:53:53 -0300	184.75.214.42	21
2016-11-24 08:54:03 -0300	90.75.214.60	97
2016-11-24 08:54:13 -0300	184.75.214.42	37
2016-11-24 08:54:23 -0300	184.75.214.42	73
2016-11-24 08:54:33 -0300	90.75.214.60	87
2016-11-24 08:54:43 -0300	90.75.214.60	61
2016-11-24 08:54:53 -0300	184.75.214.42	0
2016-11-24 08:55:03 -0300	90.75.214.60	69
2016-11-24 08:55:13 -0300	184.75.214.42	10
2016-11-24 08:55:23 -0300	184.75.214.42	50
2016-11-24 08:55:33 -0300	90.75.214.60	98
2016-11-24 08:55:43 -0300	90.75.214.60	57
2016-11-24 08:55:53 -0300	90.75.214.60	33
2016-11-24 08:56:03 -0300	184.75.214.42	45
2016-11-24 08:56:13 -0300	184.75.214.42	47
2016-11-24 08:56:23 -0300	184.75.214.42	96
2016-11-24 08:56:33 -0300	90.75.214.60	5
2016-11-24 08:56:43 -0300	184.75.214.42	0
2016-11-24 08:56:53 -0300	90.75.214.60	51
2016-11-24 08:57:03 -0300	184.75.214.42	39
2016-11-24 08:57:13 -0300	184.75.214.42	66
2016-11-24 08:57:23 -0300	90.75.214.60	19
2016-11-24 08:57:33 -0300	184.75.214.42	34
2016-11-24 08:57:43 -0300	184.75.214.42	14
2016-11-24 08:57:53 -0300	90.75.214.60	27
2016-11-24 08:58:03 -0300	184.75.214.42	21
2016-11-24 08:58:13 -0300	184.75.214.42	92
2016-11-24 08:58:23 -0300	90.75.214.60	41
2016-11-24 08:58:33 -0300	90.75.214.60	5
2016-11-24 08:58:43 -0300	90.75.214.60	3
2016-11-24 08:58:53 -0300	90.75.214.60	35
2016-11-24 08:59:03 -0300	90.75.214.60	24
2016-11-24 08:59:13 -0300	184.75.214.42	14
2016-11-24 08:59:23 -0300	184.75.214.42	36
2016-11-24 08:59:33 -0300	184.75.214.42	58
2016-11-24 08:59:43 -0300	184.75.214.42	36
2016-11-24 08:59:53 -0300	90.75.214.60	50
2016-11-24 09:00:03 -0300	184.75.214.42	23
2016-11-24 09:00:13 -0300	184.75.214.42	76
2016-11-24 09:00:23 -0300	90.75.214.60	26
2016-11-24 09:00:33 -0300	90.75.214.60	21
2016-11-24 09:00:43 -0300	184.75.214.42	47
2016-11-24 09:00:53 -0300	184.75.214.42	32
2016-11-24 09:01:03 -0300	184.75.214.42	38
2016-11-24 09:01:13 -0300	90.75.214.60	29
2016-11-24 09:01:23 -0300	90.75.214.60	48
2016-11-24 09:01:33 -0300	90.75.214.60	21
2016-11-24 09:01:43 -0300	184.75.214.42	47
2016-11-24 09:01:53 -0300	90.75.214.60	73
2016-11-24 09:02:03 -0300	90.75.214.60	30
2016-11-24 09:02:13 -0300	184.75.214.42	4
2016-11-24 09:02:23 -0300	184.75.214.42	58
2016-11-24 09:02:33 -0300	184.75.214.42	22
2016-11-24 09:02:43 -0300	90.75.214.60	97
2016-11-24 09:02:53 -0300	90.75.214.60	20
2016-11-24 09:03:03 -0300	184.75.214.42	99
2016-11-24 09:03:13 -0300	184.75.214.42	93
2016-11-24 09:03:23 -0300	90.75.214.60	36
2016-11-24 09:03:33 -0300	184.75.214.42	39
2016-11-24 09:03:43 -0300	184.75.214.42	82
2016-11-24 09:03:53 -0300	184.75.214.42	0
