2016-11-18 20:48:26 -0300	29	34
2016-11-18 20:48:27 -0300	50	31
2016-11-18 20:48:28 -0300	89	7
2016-11-18 20:48:29 -0300	25	38
2016-11-18 20:48:30 -0300	97	69
2016-11-18 20:48:31 -0300	65	45
2016-11-18 20:48:32 -0300	53	70
2016-11-18 20:48:33 -0300	39	12
2016-11-18 20:48:34 -0300	22	44
2016-11-18 20:48:35 -0300	54	73
2016-11-18 20:48:36 -0300	80	0
2016-11-18 20:48:37 -0300	33	62
2016-11-18 20:48:38 -0300	26	29
2016-11-18 20:48:39 -0300	22	25
2016-11-18 20:48:40 -0300	77	91
2016-11-18 20:48:41 -0300	97	70
2016-11-18 20:48:42 -0300	79	51
2016-11-18 20:48:43 -0300	47	48
2016-11-18 20:48:44 -0300	17	38
2016-11-18 20:48:45 -0300	76	4
2016-11-18 20:48:46 -0300	51	45
2016-11-18 20:48:47 -0300	22	82
2016-11-18 20:48:48 -0300	39	53
2016-11-18 20:48:49 -0300	99	19
2016-11-18 20:48:50 -0300	44	56
2016-11-18 20:48:51 -0300	94	32
2016-11-18 20:48:52 -0300	77	83
2016-11-18 20:48:53 -0300	24	4
2016-11-18 20:48:54 -0300	96	58
2016-11-18 20:48:55 -0300	25	59
2016-11-18 20:48:56 -0300	91	34
2016-11-18 20:48:57 -0300	2	60
2016-11-18 20:48:58 -0300	34	90
2016-11-18 20:48:59 -0300	2	23
2016-11-18 20:49:00 -0300	80	37
2016-11-18 20:49:01 -0300	94	57
2016-11-18 20:49:02 -0300	67	0
2016-11-18 20:49:03 -0300	62	34
2016-11-18 20:49:04 -0300	14	35
2016-11-18 20:49:05 -0300	27	45
2016-11-18 20:49:06 -0300	32	55
2016-11-18 20:49:07 -0300	27	43
2016-11-18 20:49:08 -0300	49	38
2016-11-18 20:49:09 -0300	51	14
2016-11-18 20:49:10 -0300	16	35
2016-11-18 20:49:11 -0300	32	0
2016-11-18 20:49:12 -0300	55	74
2016-11-18 20:49:13 -0300	57	44
2016-11-18 20:49:14 -0300	26	66
2016-11-18 20:49:15 -0300	78	39
2016-11-18 20:49:16 -0300	1	28
2016-11-18 20:49:17 -0300	45	44
2016-11-18 20:49:18 -0300	27	93
2016-11-18 20:49:19 -0300	39	87
2016-11-18 20:49:20 -0300	75	26
2016-11-18 20:49:21 -0300	98	51
2016-11-18 20:49:22 -0300	14	18
2016-11-18 20:49:23 -0300	98	8
2016-11-18 20:49:24 -0300	30	28
2016-11-18 20:49:25 -0300	15	11
2016-11-18 20:49:26 -0300	51	21
2016-11-18 20:49:27 -0300	86	41
2016-11-18 20:49:28 -0300	45	41
2016-11-18 20:49:29 -0300	58	82
2016-11-18 20:49:30 -0300	75	2
2016-11-18 20:49:31 -0300	46	7
2016-11-18 20:49:32 -0300	29	36
2016-11-18 20:49:33 -0300	49	32
2016-11-18 20:49:34 -0300	69	5
2016-11-18 20:49:35 -0300	7	71
2016-11-18 20:49:36 -0300	28	74
2016-11-18 20:49:37 -0300	67	39
2016-11-18 20:49:38 -0300	56	90
2016-11-18 20:49:39 -0300	5	50
2016-11-18 20:49:40 -0300	76	47
2016-11-18 20:49:41 -0300	63	64
2016-11-18 20:49:42 -0300	56	93
2016-11-18 20:49:43 -0300	20	97
2016-11-18 20:49:44 -0300	64	93
2016-11-18 20:49:45 -0300	23	18
2016-11-18 20:49:46 -0300	47	89
2016-11-18 20:49:47 -0300	55	81
2016-11-18 20:49:48 -0300	23	44
2016-11-18 20:49:49 -0300	42	51
2016-11-18 20:49:50 -0300	62	41
2016-11-18 20:49:51 -0300	73	17
2016-11-18 20:49:52 -0300	73	74
